"","country","iq","rank"
"1","Japan","106.4800",1
"2","Taiwan","106.4700",2
"3","Singapore","105.8900",3
"4","Hong Kong","105.3700",4
"5","China","104.1000",5
"6","South Korea","102.3500",6
"7","Belarus","101.6000",7
"8","Finland","101.2000",8
"9","Liechtenstein","101.0700",9
"10","Germany","100.7400",10
"11","Netherlands","100.7400",11
"12","Estonia","100.7200",12
"13","Luxembourg","99.8700",13
"14","Macau","99.8200",14
"15","Cambodia","99.7500",15
"16","Canada","99.5200",16
"17","Australia","99.2400",17
"18","Hungary","99.2400",18
"19","Switzerland","99.2400",19
"20","United Kingdom","99.1200",20
"21","Greenland","98.8900",21
"22","North Korea","98.8200",22
"23","Slovenia","98.6000",23
"24","New Zealand","98.5700",24
"25","Austria","98.3800",25
"26","Iceland","98.2600",26
"27","Denmark","97.8300",27
"28","Belgium","97.4900",28
"29","United States","97.4300",29
"30","Norway","97.1300",30
"31","Sweden","97",31
"32","France","96.6900",32
"33","Poland","96.3500",33
"34","Slovakia","96.3200",34
"35","Russia","96.2900",35
"36","Lithuania","95.8900",36
"37","Croatia","95.7500",37
"38","Andorra","95.2000",38
"39","Ireland","95.1300",39
"40","Czech Republic","94.9200",40
"41","Latvia","94.7900",41
"42","Italy","94.2300",42
"43","Vanuatu","93.9200",43
"44","New Caledonia","93.9200",44
"45","Spain","93.9000",45
"46","Bermuda","93.4800",46
"47","Cyprus","93.3900",47
"48","Portugal","92.7700",48
"49","Israel","92.4300",49
"50","Barbados","91.6000",50
"51","Malta","91.2700",51
"52","Myanmar","91.1800",52
"53","Mongolia","91.0300",53
"54","Bulgaria","90.9900",54
"55","Greece","90.7700",55
"56","Suriname","90.2900",56
"57","Ukraine","90.0700",57
"58","Moldova","89.9800",58
"59","Serbia","89.6000",59
"60","Vietnam","89.5300",60
"61","Iraq","89.2800",61
"62","Uzbekistan","89.0100",62
"63","Kazakhstan","88.8900",63
"64","Thailand","88.8700",64
"65","Armenia","88.8200",65
"66","Bosnia and Herzegovina","88.5400",66
"67","Costa Rica","88.3400",67
"68","Bhutan","87.9400",68
"69","Chile","87.8900",69
"70","Mexico","87.7300",70
"71","Tajikistan","87.7100",71
"72","Uruguay","87.5900",72
"73","Malaysia","87.5800",73
"74","Brunei","87.5800",74
"75","Bahamas","86.9900",75
"76","Romania","86.8800",76
"77","Turkey","86.8000",77
"78","Argentina","86.6300",78
"79","Sri Lanka","86.6200",79
"80","Mauritius","86.5600",80
"81","Turkmenistan","85.8600",81
"82","Montenegro","85.7800",82
"83","Trinidad and Tobago","85.6300",83
"84","Azerbaijan","84.8100",84
"85","Georgia","84.5000",85
"86","Turks and Caicos Islands","84.2900",86
"87","Paraguay","84.0400",87
"88","Fiji","83.9600",88
"89","Solomon Islands","83.9600",89
"90","Samoa","83.9600",90
"91","Kiribati","83.9600",91
"92","Micronesia","83.9600",92
"93","Tonga","83.9600",93
