no;country_id;country_name;salary;expenditure_percapita;gov_expenditure;net_user;expected_school;years_school;reading_mean;math_mean;science_mean;country_index
1;ARG;Argentina;9647;7,612,858;12,523;85,5;17,9;11,1;402;379;404;0,855
2;AUS;Australia;62300;31,928,353;12,6;89,6;21,1;12,7;503;491;503;0,924
3;AUT;Austria;45807,35;22,390,217;10,262;87,529;16;12,3;484;499;490;0,865
4;BRA;Brazil;16748,51;5,431,875;10,412;81,343;15,6;8,1;413;384;404;0,694
5;CAN;Canada;19112,28;25,567,441;12,01;96,97;16,4;13,8;520;512;518;0,894
6;CHE;Switzerland;99302;43,729,155;14,333;94,2;16,5;13,9;484;515;495;0,9
7;CHL;Chile;18,194,714;9,657,872;13,519;88,3;16,7;10,9;452;417;444;0,81
8;CHN;China;25788,78;4,698,876;10,439;70,405;14,2;7,6;555;591;590;0,66
9;COL;Colombia;9684;4753,92;12,475;69,79;14,4;8,9;412;391;413;0,682
10;CRI;Costa Rica;4724,24;8141,64;16,744;80,53;16,5;8,8;426;402;416;0,726
11;CZE;Czech Republic;12203;9,255,229;10,197;81,339;16,2;12,9;490;499;497;0,89
12;DEU;Germany;590,493,016,631,247;21,587,115;10,036;89,813;17;14,1;498;500;503;0,943
13;DNK;Denmark;55184;27,471,908;10,601;96,549;18,7;13;501;509;493;0,92
14;EST;Estonia;19061,22;10,664,238;11,991;89,058;15,9;13,5;523;523;530;0,882
15;FIN;Finland;422,165,631,587,502;24,112,507;10,906;92,17;19,1;12,9;520;507;522;0,927
16;FRA;France;16748,51;20171,81;10,007;84,8;15,8;11,6;493;495;493;0,817
17;GBR;England (UK);382,800,442,739,586;29,361,085;10,216;94,818;17,3;13,4;504;502;505;0,928
18;GRC;Greece;229,173,262,527,084;13,133,812;6,204;78,116;20;11,4;457;451;452;0,849
19;HUN;Hungary;15564;7,930,688;10,075;84,771;15;12,2;476;481;481;0,821
20;IDN;Indonesia;4630,32;2,166,313;11,594;53,726;13,7;8,6;371;379;396;0,65
21;IRL;Ireland;432,206,588,480,204;20,585,451;10,408;92;18,9;11,6;518;500;496;0,922
22;ISL;Iceland;41989,44;30,042,675;10,957;99;19,2;13,8;474;495;475;0,926
23;ISR;Israel;47568;21,029,968;12,563;90,127;16,1;13,3;470;463;462;0,883
24;ITA;Italy;357,388,882,987,495;18485,92;7,775;70,483;16,2;10,7;476;487;468;0,793
25;JPN;Japan;36384;10,404,085;10,366;90,219;15,2;13,4;504;527;529;0,851
26;LTU;Lithuania;261,427,895,412,496;11,215,149;11,743;83,056;16,3;13,5;476;481;482;0,898
27;LUX;Luxembourg;60394,64;34,219,114;8,474;98,822;14,4;13;470;483;477;0,806
28;LVA;Latvia;11927,88;9,191,337;11,148;88,9;16,2;13,3;479;496;487;0,883
29;MEX;Mexico;16044;6,230,653;12,155;71,968;14,9;9,2;420;409;419;0,703
30;NOR;Norway;44189;32,329,209;13,185;97;18,2;13;499;501;490;0,93
31;NZL;New Zealand;48949;17,079,105;10,138;91,5;20,3;12,9;506;494;508;0,926
32;POL;Poland;18068;9,009,787;10,892;83,185;16;13,2;512;516;511;0,869
33;PRT;Portugal;15358,53;13,679,779;10,124;78,262;16,9;9,6;492;492;492;0,768
34;RUS;Russian Federation;15192;5463,75;10,532;84,995;15,8;12,8;479;488;478;0,823
35;SAU;Saudi Arabia;40224;8,547,939;12,296;97,86;16,1;11,3;399;373;386;0,789
36;SVK;Slovak Republic;163,994,360,735,417;10,185,247;10,049;89,921;14,5;12,9;458;486;464;0,826
37;SVN;Slovenia;355,042,531,468,748;13,319,562;10,079;86,601;17,7;12,8;495;509;507;0,91
38;SWE;Sweden;254,214,231,473,751;24,241,578;10,15;94,539;19,4;12,6;506;502;499;0,918
39;TUR;Türkiye;5871,78;3,062,756;12,407;77,67;18,3;8,6;466;454;468;0,731
