country_id;country_name;iq;rank
JPN;Japan;106.48;1
TWN;Taiwan;106.47;2
SGP;Singapore;105.89;3
HKG;Hong Kong;105.37;4
CHN;China;104.1;5
KOR;South Korea;102.35;6
BLR;Belarus;101.6;7
FIN;Finland;101.2;8
LIE;Liechtenstein;101.07;9
DEU;Germany;100.74;10
NLD;Netherlands;100.74;11
EST;Estonia;100.72;12
LUX;Luxembourg;99.87;13
MAC;Macau;99.82;14
KHM;Cambodia;99.75;15
CAN;Canada;99.52;16
AUS;Australia;99.24;17
HUN;Hungary;99.24;18
CHE;Switzerland;99.24;19
GBR;United Kingdom;99.12;20
GRL;Greenland;98.89;21
PRK;North Korea;98.82;22
SVN;Slovenia;98.6;23
NZL;New Zealand;98.57;24
AUT;Austria;98.38;25
ISL;Iceland;98.26;26
DNK;Denmark;97.83;27
BEL;Belgium;97.49;28
USA;United States;97.43;29
NOR;Norway;97.13;30
SWE;Sweden;97;31
FRA;France;96.69;32
POL;Poland;96.35;33
SVK;Slovakia;96.32;34
RUS;Russia;96.29;35
LTU;Lithuania;95.89;36
HRV;Croatia;95.75;37
AND;Andorra;95.2;38
IRL;Ireland;95.13;39
CZE;Czech Republic;94.92;40
LVA;Latvia;94.79;41
ITA;Italy;94.23;42
NCL;New Caledonia;93.92;43
VUT;Vanuatu;93.92;44
ESP;Spain;93.9;45
BMU;Bermuda;93.48;46
CYP;Cyprus;93.39;47
PRT;Portugal;92.77;48
ISR;Israel;92.43;49
BRB;Barbados;91.6;50
MLT;Malta;91.27;51
MMR;Myanmar;91.18;52
MNG;Mongolia;91.03;53
BGR;Bulgaria;90.99;54
DRC;Greece;90.77;55
SUR;Suriname;90.29;56
UKR;Ukraine;90.07;57
MDA;Moldova;89.98;58
SRB;Serbia;89.6;59
VNM;Vietnam;89.53;60
IRQ;Iraq;89.28;61
UZB;Uzbekistan;89.01;62
KAZ;Kazakhstan;88.89;63
THA;Thailand;88.87;64
ARM;Armenia;88.82;65
BIH;Bosnia and Herzegovina;88.54;66
CRI;Costa Rica;88.34;67
BTN;Bhutan;87.94;68
CHL;Chile;87.89;69
MEX;Mexico;87.73;70
TJK;Tajikistan;87.71;71
URY;Uruguay;87.59;72
BRN;Brunei;87.58;73
MYS;Malaysia;87.58;74
BHS;Bahamas;86.99;75
ROU;Romania;86.88;76
TUR;Turkey;86.8;77
ARG;Argentina;86.63;78
LKA;Sri Lanka;86.62;79
MUS;Mauritius;86.56;80
TKM;Turkmenistan;85.86;81
MNE;Montenegro;85.78;82
TTO;Trinidad and Tobago;85.63;83
