prov_name;Sekolah;Siswa;Guru;Luas;Jml Sekolah per 10km2;Jml Siswa per 10km2;Jml Guru per 10km2;Rata Lama Sekolah;Angka Melek Huruf;Siswa per Guru;Siswa per Sekolah;Guru per Sekolah;Angka Partisipasi Sekolah;Jumlah Universitas;Jumlah Dosen;Jumlah Mahasiswa
Aceh;2160;818876;80679;57956;0.37;141.29;13.92;9.37;99.99;10.150;379.109;37.351;93.79;100;6968;146126
Bali;2987;664120;13687;5780.06;5.17;1148.98;23.68;9.06;99.95;48.522;222.337;4.582;93.96;60;6906;144352
Bangka-Belitung;1130;198806;14129;16424.06;0.69;121.05;8.60;8.08;99.85;14.071;175.935;12.504;86.93;17;743;13083
Banten;6837;1838197;65988;9662.92;7.08;1902.32;68.29;8.93;99.94;27.857;268.860;9.652;88.39;115;11013;1359845
Bengkulu;1998;332781;26198;19919.33;1.00;167.06;13.15;8.87;99.87;12.703;166.557;13.112;92.33;17;2117;48310
Gorontalo;1338;182562;13395;11257.07;1.19;162.18;11.90;7.9;99.87;13.629;136.444;10.011;87.46;12;1836;47719
Jakarta Raya;3809;1302860;67415;664.01;57.36;19621.09;1015.27;11.17;99.95;19.326;342.048;17.699;90.18;279;28219;698268
Jambi;3404;566040;41639;50058.16;0.68;113.08;8.32;8.6;99.93;13.594;166.287;12.232;89.52;40;2577;68178
Jawa Barat;27244;7035609;149430;35377.76;7.70;1988.71;42.24;8.61;99.97;47.083;258.244;5.485;87.46;392;34320;826727
Jawa Tengah;23034;4266632;225544;32800.69;7.02;1300.78;68.76;7.75;99.97;18.917;185.232;9.792;89.10;256;21483;601618
Jawa Timur;25533;4344401;125594;47803.49;5.34;908.80;26.27;7.88;99.95;34.591;170.148;4.919;90.43;338;34562;863449
Kalimantan Barat;6265;923832;50945;147307;0.43;62.71;3.46;7.45;99.87;18.134;147.459;8.132;87.05;49;3212;93729
Kalimantan Selatan;3745;535056;41055;38744.23;0.97;138.10;10.60;8.34;99.92;13.033;142.872;10.963;87.40;48;3918;89980
Kalimantan Tengah;3758;440722;28766;153564.5;0.24;28.70;1.87;8.64;99.86;15.321;117.276;7.655;87.15;25;1928;37393
Kalimantan Timur;1110;652093;39408;129066.64;0.09;50.52;3.05;9.84;99.95;16.547;587.471;35.503;93.50;53;4246;96613
Kalimantan Utara;744;129727;9604;75467.7;0.10;17.19;1.27;9.11;99.59;13.508;174.364;12.909;90.56;9;624;12775
Kepulauan Riau;1546;174723;22362;8201.72;1.88;213.03;27.27;10.18;99.91;7.813;113.016;14.464;94.29;35;2010;45674
Lampung;6687;1296465;86460;34623.8;1.93;374.44;24.97;8.08;99.9;14.995;193.878;12.930;88.94;73;5220;113491
Maluku;2788;366139;31633;46914.03;0.59;78.04;6.74;10.03;99.89;11.575;131.327;11.346;92.28;34;2779;67497
Maluku Utara;2049;242158;19794;31982.5;0.64;75.72;6.19;9.09;99.85;12.234;118.184;9.660;90.95;18;1964;41429
Nusa Tenggara Barat;4686;331896;49399;18572.32;2.52;178.70;26.60;7.38;99.92;6.719;70.827;10.542;91.78;53;5035;102717
Nusa Tenggara Timur;7617;1200640;93163;48718.1;1.56;246.45;19.12;7.69;98.97;12.888;157.626;12.231;89.84;60;4646;123831
Papua;3669;686723;30857;319036.05;0.12;21.52;0.97;6.76;91.13;22.255;187.169;8.410;75.81;51;2790;115870
Papua Barat;1572;93026;15218;102955.15;0.15;9.04;1.48;7.69;99.56;6.113;59.177;9.681;92.05;22;1794;38307
Riau;2114;1197902;60975;87023.66;0.24;137.65;7.01;9.19;99.93;19.646;566.652;28.843;91.04;82;4830;137435
Sulawesi Barat;1797;226274;17587;16787.18;1.07;134.79;10.48;7.96;99.5;12.866;125.918;9.787;86.51;20;1279;27017
Sulawesi Selatan;8746;1443681;108021;46717.48;1.87;309.02;23.12;8.46;99.78;13.365;165.068;12.351;88.02;192;13982;337759
Sulawesi Tengah;4031;94262;40273;61841.29;0.65;15.24;6.51;8.89;99.82;2.341;23.384;9.991;89.38;38;3280;87978
Sulawesi Tenggara;3442;505544;43080;38067.7;0.90;132.80;11.32;9.13;99.91;11.735;146.875;12.516;89.75;46;4058;106911
Sulawesi Utara;3163;379732;25464;13892.47;2.28;273.34;18.33;9.62;99.9;14.913;120.054;8.051;89.55;49;4426;89925
Sumatera Barat;5462;950986;70745;42012.89;1.30;226.36;16.84;9.07;99.89;13.442;174.109;12.952;93.44;98;7606;177767
Sumatera Selatan;5460;656273;40365;91592.43;0.60;71.65;4.41;8.3;99.95;16.258;120.197;7.393;88.68;104;6391;141621
Sumatera Utara;13554;2561347;165446;72981.23;1.86;350.96;22.67;9.58;99.9;15.481;188.974;12.206;91.66;221;15490;372423
Yogyakarta;2470;468054;31455;3133.15;7.88;1493.88;100.39;9.64;99.93;14.880;189.496;12.735;96.25;109;13200;389699
