country_id;country_name;year;read
PHL;Philippines;2018;339.69
DOM;Dominican Republic;2018;341.63
XKX;Kosovo;2018;353.07
LBN;Lebanon;2018;353.36
SEP;Morocco;2018;359.39
IDN;Indonesia;2018;370.97
PAN;Panama;2018;376.97
GEO;Georgia;2018;379.75
KAZ;Kazakhstan;2018;386.91
;Baku (Azerbaijan);2018;389.39
MKD;North Macedonia;2018;392.67
THA;Thailand;2018;392.89
SAU;Saudi Arabia;2018;399.15
PER;Peru;2018;400.51
ARG;Argentina;2018;401.5
BIH;Bosnia and Herzegovina;2018;402.98
ALB;Albania;2018;405.43
QAT;Qatar;2018;407.09
BRN;Brunei Darussalam;2018;408.07
COL;Colombia;2018;412.3
BRA;Brazil;2018;412.87
MYS;Malaysia;2018;414.98
JOR;Jordan;2018;419.06
GRC;Bulgaria;2018;419.84
MEX;Mexico;2018;420.47
MNE;Montenegro, Republic of;2018;421.06
MDA;Moldova, Republic of;2018;423.99
CYP;Cyprus;2018;424.36
CRI;Costa Rica;2018;426.5
URY;Uruguay;2018;427.12
ROU;Romania;2018;427.7
ARE;United Arab Emirates;2018;431.78
SRB;Serbia;2018;439.47
MLT;Malta;2018;448.23
CHL;Chile;2018;452.27
;Average of the Selected Jurisdictions;2018;453.1
GRC;Greece;2018;457.41
SVK;Slovak Republic;2018;457.98
TUR;Turkey;2018;465.63
UKR;Ukraine;2018;465.95
LUX;Luxembourg;2018;469.99
ISR;Israel;2018;470.42
BLR;Belarus;2018;473.79
ISL;Iceland;2018;473.97
LTU;Lithuania;2018;475.87
HUN;Hungary;2018;475.99
ITA;Italy;2018;476.28
RUS;Russian Federation;2018;478.5
LVA;Latvia;2018;478.7
HRV;Croatia;2018;478.99
CHE;Switzerland;2018;483.93
AUT;Austria;2018;484.39
NLD;Netherlands;2018;484.78
OED;International Average (OECD Countries);2018;487.45
CZE;Czech Republic;2018;490.22
PRT;Portugal;2018;491.8
FRA;France;2018;492.61
BEL;Belgium;2018;492.86
SVN;Slovenia;2018;495.35
DEU;Germany;2018;498.28
NOR;Norway;2018;499.45
DNK;Denmark;2018;501.13
;Chinese Taipei;2018;502.6
AUS;Australia;2018;502.63
JPN;Japan;2018;503.86
GBR;United Kingdom;2018;503.93
USA;United States;2018;505.35
NZL;New Zealand;2018;505.73
SWE;Sweden;2018;505.79
POL;Poland;2018;511.86
KOR;Korea, Republic of;2018;514.05
IRL;Ireland;2018;518.08
FIN;Finland;2018;520.08
CAN;Canada;2018;520.09
EST;Estonia;2018;523.02
HKG;Hong Kong - China;2018;524.28
MAC;Macao - China;2018;525.12
SGP;Singapore;2018;549.46
;B-S-J-Z (China);2018;555.24
